#energy	xsecv3 (m=0.5 GeV)	xsecv4 (m=0.001GeV)	xsecv5 (m=0.01GeV)	xsecv6 (m=0.05GeV)	nPhoton
0.001	0.0	0.0	0.0	0.0	19823458166.4
0.101	0.0	       36755.0	       19493.0	       3294.2	17280389381.4
0.201	0.0	       37077.0	       23503.0	       7166.8	15203328330.4
0.301	0.0	       37056.0	       25928.0	       9294.0	13552397892.1
0.401	0.0	       37110.0	       27451.0	       10793.0	12303261022.2
0.501	0.0	       37246.0	       28630.0	       11908.0	11447541512.5
0.601	       4.3399	       37087.0	       29437.0	       12662.0	10994101338.6
0.701	       11.729	       37096.0	       30194.0	       13817.0	10971366082.5
0.801	       20.987	       37082.0	       30795.0	       14513.0	11430978042.8
0.901	       31.998	       37146.0	       31292.0	       14891.0	12453177080.7
1.001	       44.955	       37111.0	       31634.0	       15425.0	14154475638.7
1.101	       60.142	       37077.0	       32263.0	       15788.0	16698426190.8
1.201	       77.661	       37079.0	       32697.0	       16408.0	20310604644.7
1.301	       97.432	       37247.0	       33046.0	       17145.0	25299392304.2
1.401	       121.09	       37097.0	       33386.0	       17167.0	6166770902.14
1.501	       144.46	       37090.0	       33527.0	       17972.0	6348281523.23
1.601	       172.08	       37104.0	       33996.0	       18168.0	6594396984.53
1.701	       202.55	       37114.0	       34134.0	       18498.0	6901707115.04
1.801	       236.09	       37108.0	       34243.0	       18616.0	7256107200.26
1.901	       267.08	       37182.0	       34447.0	       18870.0	7627016135.41
2.001	       309.61	       37102.0	       34524.0	       19178.0	7958334989.31
2.101	       350.97	       37092.0	       34662.0	       19549.0	8154495439.69
2.201	       391.56	       37135.0	       34746.0	       19692.0	8059085803.4
2.301	       429.64	       37106.0	       35076.0	       19936.0	7422226726.67
2.401	       475.68	       37057.0	       35241.0	       20031.0	5850852703.63
2.501	       522.21	       37096.0	       35346.0	       20390.0	4909866718.07
2.601	       575.22	       37154.0	       35544.0	       20589.0	5058863199.16
2.701	       625.22	       37151.0	       35657.0	       20768.0	5182982352.49
2.801	       685.16	       37138.0	       35773.0	       20967.0	5259536998.7
2.901	       709.0	       37204.0	       35690.0	       21113.0	5261374590.94
3.001	       784.42	       37117.0	       35781.0	       21192.0	5160258306.51
3.101	       851.36	       37173.0	       35869.0	       21580.0	4935106646.19
3.201	       872.95	       37138.0	       35925.0	       21637.0	4589396164.63
3.301	       948.71	       37144.0	       36016.0	       21848.0	4185358884.64
3.401	       1000.0	       37155.0	       35815.0	       21890.0	3908382953.42
3.501	       1049.7	       37147.0	       35850.0	       22062.0	3914346680.36
3.601	       1106.0	       37134.0	       35547.0	       22248.0	3895555013.58
